Country,year,GDP_pp,GDP_pp_diff,GDP_pp_cumsum_diff,Sex,Obesity,obesity_diff,obesity_cumsum_diff
Nauru,2011,8051.77,507.6360000000004,7306.31,Both sexes,59.3,0.3999999999999986,14.799999999999995
Palau,2011,13980.82,129.7559999999994,12840.71,Both sexes,52.4,0.6000000000000014,24.1
Marshall Islands,2011,6464.55,35.73999999999978,5762.9400000000005,Both sexes,50.1,0.5,23.1
Tonga,2011,4885.71,0.4840000000003783,4017.47,Both sexes,44.7,0.6000000000000014,24.800000000000004
Samoa,2011,5019.26,12.231999999999973,3317.86,Both sexes,44.1,0.7000000000000028,23.9
